song_id;title;artist;date;peak_position;chord_progression;semitone_progression
3;I Don't Mind;James Brown;1961-07-03;47;NULL;NULL
101;A Lesson In Leavin';Dottie West;1980-03-08;73;B:maj-E:maj-F#:maj-G#:min-D#:min-E:maj-F#:sus4(b7-B:maj-G#:min7-B:maj(9)-G#:min7-B:maj(9)-G#:min7-D#:min7-E:maj-B:maj/3-E:maj-F#:sus4-B:maj-E:maj-F#:maj-B:maj-E:maj-F#:maj-G#:min7-B:maj(9)-G#:min7-B:maj(9)-G#:min7-D#:min7-E:maj-B:maj/3-E:maj-F#:sus4-G#:sus4-N-Gb:maj-Ab:maj-Db:maj-Gb:maj-Ab:maj-Db:maj-Ab:sus4(b7-Db:maj-Gb:maj-Ab:maj-Db:maj-Gb:maj-Ab:maj-Db:maj-Ab:sus4(b7-Db:maj-N;12-5-2-2-7-1-2-5-9-3-9-3-9-7-1-7-5-2-5-5-2-5-5-2-2-3-9-3-9-7-1-7-5-2-2-3-7-2-5-5-2-5-7-5-5-2-5-5-2-5-7-5-10
1149;Going To Chicago Blues;Count Basie;1958-08-18;100;F:9-B:7-Bb:7-Eb:maj-Ab:7-A:dim-Eb:maj-Ab:7-Eb:maj-F:min7-B:7-Bb:7-Eb:maj-Ab:7-Eb:maj-Ab:7-Eb:maj-Ab:7-Eb:maj-F:min7-Bb:7-Eb:maj-Ab:7-A:dim-Eb:maj-Bb:7-Eb:7-Ab:maj-Eb:7-Ab:7-Eb:7-Bb:7-Eb:maj-Ab:7-A:dim-Bb:7-Eb:7-Ab:7-Eb:7-Ab:7-Eb:7-Bb:7-Eb:maj-Ab:7-A:dim-Eb:maj-Bb:7-Eb:7-Ab:7-Eb:7-F:sus4(b7)-Bb:7-F:sus4(b7)-Bb:7-Eb:maj-Ab:7-A:dim-Eb:maj-Bb:7-Eb:7-Ab:7-Eb:7-F:sus4(b7)-Bb:7-F:sus4(b7)-Bb:7-Eb:maj-Ab:7-A:dim-Eb:maj-Bb:7-Eb:maj-N;6-6-11-5-5-1-6-5-7-2-6-11-5-5-7-5-7-5-7-2-5-5-5-1-6-7-5-5-7-5-7-7-5-5-1-1-5-5-7-5-7-7-5-5-1-6-7-5-5-7-2-5-7-5-5-5-1-6-7-5-5-7-2-5-7-5-5-5-1-6-7-5-8
1089;Who Will You Run To;Heart;1987-12-12;7;A:maj-G:maj-A:maj-D:maj-A:maj-D:maj-G:maj-D:maj-E:maj-F#:min-D:maj-G:maj-D:maj-E:maj-D:maj-E:maj-D:maj-A:maj-E:maj/3-D:maj-G:maj-A:maj-E:maj/3-D:maj-G:maj-A:maj-G:maj-A:maj-D:maj-A:maj-D:maj-G:maj-D:maj-E:maj-F#:min-D:maj-G:maj-D:maj-E:maj-D:maj-E:maj-D:maj-A:maj-E:maj/3-D:maj-G:maj-A:maj-E:maj/3-D:maj-G:maj-A:maj-G:maj-A:maj-G:maj-E:maj-D:maj-E:maj-D:maj-A:maj-E:maj/3-D:maj-G:maj-A:maj-E:maj/3-G:maj-A:maj-E:maj/3-G:maj-A:maj-E:maj/3-G:maj-A:maj-E:maj/3-G:maj-A:maj-E:maj/3-G:maj-A:maj-E:maj/3-G:maj-A:maj-E:maj/3-G:maj-A:maj-E:maj/3-G:maj-A:maj-E:maj/3-G:maj-N;10-10-2-5-7-5-5-7-2-2-8-5-7-2-10-2-10-7-7-10-5-2-7-10-5-2-10-2-5-7-5-5-7-2-2-8-5-7-2-10-2-10-7-7-10-5-2-7-10-5-2-10-2-10-9-10-2-10-7-7-10-5-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-4
517;All Those Years Ago;George Harrison;1981-05-30;2;D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-A:maj-D:maj-E:min-A:7-D:maj-A:maj-D:maj-E:min-A:maj-D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-A:maj-D:maj-E:min-A:maj-D:maj-A:maj-D:maj-E:min-A:maj-D:maj-E:min-G:dim-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-A:maj-D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-D:maj-E:min-G:dim7-D:maj-F#:min-E:min-G:min-D:maj-B:maj-E:min-N;3-2-3-7-4-10-3-7-9-5-10-2-3-7-4-10-3-7-9-5-5-5-2-5-5-7-5-2-5-5-2-3-7-4-10-3-7-9-5-10-4-10-3-7-9-5-10-2-3-7-4-10-3-7-9-5-10-2-3-7-4-10-3-7-9-5-5-5-2-5-5-7-5-2-5-5-2-3-7-4-10-3-7-9-5-10-4-10-3-7-9-5-10-4-10-3-7-9-5-5-5-2-3-7-4-10-3-7-9-5-10-2-3-7-4-10-3-7-9-5-10-2-3-7-4-10-3-7-9-5-10-2-3-7-4-10-3-7-9-5-7
995;Gloria;Laura Branigan;1982-11-27;2;A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-F#:min-B:maj-E:maj-A:maj9-D:maj-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj-E:maj-A:maj-E:maj-G:maj-D:maj-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-F#:min-B:maj-E:maj-A:maj9-D:maj-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-F#:min-B:maj-E:maj-A:maj9-D:maj-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-F#:min-B:maj-E:maj-A:maj9-D:maj-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-E:maj-A:maj/5-E:maj-A:maj/5-E:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj/5-A:maj-N;10-7-5-7-5-7-5-7-5-7-5-7-10-7-5-7-5-7-5-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-9-5-5-5-5-2-10-7-5-7-5-7-7-5-7-5-7-3-7-2-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-9-5-5-5-5-2-10-7-5-7-5-7-7-5-7-5-7-5-7-5-7-5-7-10-7-5-7-5-7-5-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-9-5-5-5-5-2-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-9-5-5-5-5-2-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-7-5-7-5-7-10-7-5-7-5-7-2
1258;Lady;Kenny Rogers;1980-12-27;1;Eb:min-Ab:min/5-Db:maj/2-Eb:min-Ab:min/5-Db:maj/2-Eb:min-Ab:min/5-Db:maj/2-Eb:min-Ab:min/5-Db:maj/2-Eb:min-Ab:min-Bb:min-Eb:min-Cb:maj-Bb:min-Eb:sus4-Ab:min-Bb:min-Eb:min-Cb:maj-Bb:min-Eb:sus4-Ab:min/5-Db:maj/2-Eb:min-Ab:min/5-Db:maj/2-Eb:min-Ab:min/5-Db:maj/2-Eb:min-Ab:min/5-Db:maj/2-Eb:min-Ab:min-Bb:min-Eb:min-Cb:maj-Bb:min-Eb:sus4-Ab:min-Bb:min-Eb:min-Cb:maj-Bb:min-Eb:sus4-Cb:maj-Db:7/b7-Gb:maj-Db:maj/3-Eb:min-Cb:maj-Db:7/b7-Gb:maj-Db:maj/3-Eb:min-Cb:maj-Db:7/b7-Gb:maj-Db:maj/3-Eb:min-Cb:maj-Bb:min-Ab:min-Db:sus4(b7-N-Eb:min-Ab:maj/5-Db:maj/2-Eb:min-N;4-5-5-2-5-5-2-5-5-2-5-5-2-5-2-5-8-11-5-5-2-5-8-11-5-5-5-2-5-5-2-5-5-2-5-5-2-5-2-5-8-11-5-5-2-5-8-11-5-8-2-5-7-2-8-2-5-7-2-8-2-5-7-2-8-11-10-5-10-4-5-5-2-8
1104;What You Get Is What You See;Tina Turner;1987-03-07;13;F:maj-Bb:maj-C:maj-Bb:maj-F:maj-Bb:maj-C:maj-Bb:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-F:maj/3-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-F:maj/3-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-F:maj/3-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-F:maj-G:min7-Bb:maj/7-C:maj-Bb:maj-C:maj-N;6-5-2-10-7-5-2-10-7-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-10-2-5-5-2-10-2-5-5-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-10-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-10-2-5-5-2-10-2-5-5-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-10-5-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-10-2-5-5-2-10-2-5-5-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-10-5-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-5-2-3-2-10-2-11
828;Journey To The Center Of The Mind;The Amboy Dukes;1968-07-20;16;A:maj-C:maj-A:maj-C:maj-A:maj-C:maj-A:maj-C:maj-A:maj-C:maj-A:maj-C:maj-A:maj-C:maj-A:maj-E:maj-D:maj-E:maj-A:maj-C:maj-B:maj-Bb:maj-A:maj-C:maj-B:maj-Bb:maj-A:maj-C:maj-B:maj-Bb:maj-B:maj-E:maj-D:maj-E:maj-A:maj-C:maj-B:maj-Bb:maj-A:maj-C:maj-B:maj-Bb:maj-A:maj-C:maj-B:maj-Bb:maj-B:maj-E:maj-C#:min-A:maj-F#:maj-E:maj-C#:min-A:maj-F#:maj-B:sus4-A:maj-C:maj-A:maj-C:maj-A:maj-C:maj-A:maj-E:maj-A:1/1-E:1/1-A:1/1-E:1/1-A:1/1-E:1/1-A:1/1-E:maj-A:maj-C:maj-B:maj-Bb:maj-A:maj-C:maj-B:maj-Bb:maj-A:maj-C:maj-B:maj-Bb:maj-B:maj-E:maj-D:maj-E:maj-D:maj-E:maj-A:maj-C:maj-A:maj-C:maj-A:maj-B:maj;10-3-9-3-9-3-9-3-9-3-9-3-9-3-9-7-10-2-5-3-11-11-11-3-11-11-11-3-11-11-1-5-10-2-5-3-11-11-11-3-11-11-11-3-11-11-1-5-9-8-9-10-9-8-9-5-10-3-9-3-9-3-9-7-5-7-5-7-5-7-5-7-5-3-11-11-11-3-11-11-11-3-11-11-1-5-10-2-10-2-5-3-9-3-9-2
265;(Last Night) I Didn't Get To Sleep At All;The 5th Dimension;1972-04-29;8;Ab:maj-F:min7-C:min7-Gb:maj6(9)-Ab:maj7-F:min7-C:min7-F:min-C:min-Db:maj7-Eb:maj-Ab:maj7-F:min7-C:min7-F:min-C:min-Db:maj7-Eb:maj-F:min-Db:maj7-Eb:sus4(b7-Ab:maj-Db:maj/5-Ab:maj7-C:min7-F:min7-Db:maj-Eb:maj-Ab:maj-C:min7-F:min7-Gb:maj7-Eb:sus4(b7-Ab:maj7-F:min7-C:min7-F:min-C:min-Db:maj7-Eb:maj-F:min-Db:maj7-Bb:min7-Eb:sus4(b7-Ab:maj-C:min7-F:min7-Db:maj-Eb:maj-Ab:maj-C:min7-F:min7-Gb:maj7-Eb:sus4(b7-Ab:maj7-F:min7-C:min7-F:min-C:min-Db:maj7-Eb:maj-F:min-Db:maj7-Bb:min7-Eb:sus4(b7-Ab:maj-F:min7-C:min7-Eb:maj-Ab:maj-F:min7-C:min7-Eb:maj-Ab:maj-F:min7-C:min7-Eb:maj-Ab:maj-F:min7-C:min7-Eb:maj-N;9-9-7-6-2-9-7-5-7-1-2-5-9-7-5-7-1-2-2-8-2-5-5-7-4-5-8-2-5-4-5-1-9-5-9-7-5-7-1-2-2-8-9-5-5-4-5-8-2-5-4-5-1-9-5-9-7-5-7-1-2-2-8-9-5-5-9-7-3-5-9-7-3-5-9-7-3-5-9-7-3-8
